vol_regime,observations,avg_daily_return,median_daily_return,return_std,avg_range_pct,avg_next_day_return,avg_next_day_range
High Vol,420,0.002864534422477684,0.002022809637129974,0.0437615814684518,0.04830407314458634,0.0016933465051484646,0.046899962065459405
Low Vol,407,0.0031355786443449003,0.003668792684991873,0.02019063571269398,0.027474498715010346,0.004073703002644833,0.028860495260487222
Medium Vol,407,0.0015547536517579027,0.0022753128555177415,0.029329167535276906,0.03820804989543568,0.0018491326152675085,0.0382760530285474
