datetime,open,high,low,close,volume,return
20210316,13.38,13.51,13.12,13.29,145908760,0.007581501137225111
20210317,13.04,13.45,12.99,13.34,127975480,0.003762227238525151
20210318,13.13,13.18,12.72,12.72,150889400,-0.04647676161919034
20210319,12.75,12.92,12.61,12.85,130366880,0.010220125786163381
20210322,12.94,13.39,12.91,13.19,143004280,0.0264591439688715
20210323,13.26,13.34,13.02,13.07,112213960,-0.0090978013646702
20210324,13.17,13.17,12.64,12.64,126040840,-0.03289977046671766
20210325,12.51,12.71,12.27,12.54,148286400,-0.007911392405063444
20210326,12.55,12.86,12.37,12.84,203397400,0.02392344497607657
20210329,12.8,13.06,12.7,12.95,128858520,0.008566978193146335
20210330,12.81,12.98,12.71,12.87,98888800,-0.00617760617760621
20210331,13.01,13.47,12.98,13.35,161871840,0.037296037296037365
20210401,13.57,13.87,13.51,13.81,162622760,0.03445692883895135
20210405,13.87,14.01,13.73,13.99,130787560,0.01303403330919628
20210406,14.0,14.05,13.77,13.86,99760200,-0.009292351679771271
20210407,13.88,14.24,13.71,14.14,133642920,0.020202020202020332
20210408,14.25,14.47,14.25,14.32,134978000,0.012729844413012614
20210409,14.25,14.41,14.18,14.4,97914280,0.005586592178770999
20210412,14.29,15.35,14.14,15.21,570395880,0.05625000000000013
20210413,15.23,15.7,15.13,15.68,423757960,0.030900723208415526
20210414,15.63,15.72,15.23,15.28,216152320,-0.025510204081632626
20210415,15.66,16.21,15.63,16.14,366799040,0.05628272251308908
20210416,16.06,16.17,15.87,15.91,182802920,-0.014250309789343274
20210419,15.54,15.81,15.23,15.36,240201480,-0.034569453174104425
20210420,15.32,15.5,14.96,15.17,185580800,-0.01236979166666663
20210421,15.13,15.36,15.1,15.36,108143000,0.012524719841793042
20210422,15.38,15.44,14.78,14.85,151437640,-0.033203125
20210423,14.9,15.33,14.9,15.27,118579440,0.028282828282828243
20210426,15.18,15.48,15.13,15.48,111922560,0.013752455795677854
20210427,15.57,15.67,15.35,15.38,88968000,-0.006459948320413411
20210428,15.36,15.53,15.22,15.28,113298640,-0.006501950585175664
20210429,15.4,15.44,15.07,15.32,83692000,0.002617801047120505
20210430,15.16,15.37,15.0,15.01,90734720,-0.020234986945169786
20210503,15.13,15.25,14.79,14.84,108821080,-0.011325782811459018
20210504,14.64,14.64,14.01,14.35,229543840,-0.03301886792452835
20210505,14.71,14.81,14.39,14.46,167974400,0.0076655052264809065
20210506,14.5,14.57,14.22,14.52,103987560,0.004149377593360981
20210507,14.8,14.97,14.67,14.81,116216400,0.019972451790633672
20210510,14.77,14.81,14.25,14.27,141179880,-0.036461850101283
20210511,13.84,14.35,13.75,14.31,152690080,0.002803083391730965
20210512,14.01,14.26,13.71,13.76,157889800,-0.03843466107617055
20210513,14.03,14.08,13.46,13.67,145511200,-0.006540697674418561
20210514,13.89,14.33,13.75,14.24,129878320,0.04169714703730798
20210517,14.16,14.17,13.85,14.17,118052320,-0.004915730337078705
20210518,14.27,14.4,14.0,14.02,106255800,-0.010585744530698715
20210519,13.57,14.08,13.54,14.07,195852960,0.003566333808844524
20210520,14.3,14.68,14.27,14.61,179897480,0.03837953091684421
20210521,15.16,15.22,14.87,14.99,401540920,0.02600958247775509
20210524,15.2,15.74,15.18,15.61,332725920,0.0413609072715142
